PriceRangeID,Departure_ariportID,Transit_ariportID,Landing_ariportID,DepartureDateID,ArrivalDateID,PassengerID,TicketID,PlaneID,CabinID,mileage,Price,Rate,ian
1,1,NULL,21,196,196,60313,7,1,325,1178,1360,0.92,255487
9,2,NULL,22,183,183,19822,8,2,1294,1178,5580,1.00,255488
3,3,NULL,23,175,175,60839,22,3,325,1178,520,0.35,255489
3,5,NULL,24,63,63,48668,23,5,325,1178,670,0.45,255490
1,6,NULL,25,196,196,18497,24,6,325,1178,1390,0.94,255491
1,8,NULL,26,183,183,26061,16,7,1294,1178,2240,0.39,255492
3,9,NULL,27,175,175,52302,17,8,325,1178,690,0.47,255493
3,12,NULL,29,63,63,28739,101,9,325,1178,670,0.45,255494
1,13,NULL,30,196,196,30979,102,10,325,1178,1400,0.94,255495
1,14,NULL,31,183,183,22087,178,11,1294,1178,5810,1.00,255496
3,16,NULL,32,175,175,6207,2,12,325,1178,520,0.35,255497
3,17,NULL,33,63,63,27916,3,13,325,1178,760,0.52,255498
4,18,NULL,34,196,196,34445,9,14,325,1178,795,0.54,255499
3,19,NULL,35,183,183,18912,10,15,1294,1178,2240,0.40,255500
3,20,NULL,36,175,175,57025,14,16,325,1178,1490,1.00,255501
3,21,NULL,1,63,63,20223,4,17,325,1178,630,0.43,255502
4,22,NULL,2,196,196,22111,5,18,325,1178,795,0.54,255503
3,23,NULL,3,183,183,49085,6,19,1294,1178,5660,1.00,255504
3,24,NULL,5,175,175,38238,11,1,325,1178,520,0.35,255505
3,25,NULL,6,63,63,19329,12,2,325,1178,1490,1.00,255506
4,26,NULL,8,196,196,38004,568918,3,325,1178,1100,0.74,255507
4,27,NULL,9,183,183,29189,568919,5,1294,1178,5660,1.00,255508
3,29,NULL,12,175,175,56074,568920,6,325,1178,520,0.35,255509
3,30,1,13,63,63,19989,568921,7,325,1178,1490,1.00,255510
4,31,NULL,14,196,196,13910,568922,8,325,1178,1100,0.74,255511
3,32,NULL,16,183,183,34142,568923,9,1294,1178,2240,0.40,255512
3,33,NULL,17,175,175,884,568924,10,325,1178,520,0.35,255513
1,34,NULL,18,63,63,14847,568925,11,325,1178,1490,1.00,255514
4,35,NULL,19,196,196,21149,568926,12,325,1178,1490,1.00,255515
3,36,NULL,20,183,183,41382,568927,13,1294,1178,5660,1.00,255516
3,1,NULL,21,175,175,35712,568928,14,325,1178,690,0.47,255517
1,2,NULL,22,63,63,31847,568929,15,325,1178,1490,1.00,255518
3,3,NULL,23,196,196,61766,568930,16,325,1178,830,0.56,255519
3,5,NULL,24,183,183,2052,568931,17,1294,1178,2240,0.40,255520
3,6,NULL,25,175,175,38477,568932,18,325,1178,520,0.35,255521
1,8,NULL,26,63,63,17789,2217,19,325,1178,1490,1.00,255522
3,9,NULL,27,196,196,11278,2218,1,325,1178,830,0.56,255523
3,12,NULL,29,183,183,35907,2219,2,1294,1178,5660,1.00,255524
3,13,NULL,30,175,175,46344,2220,3,325,1178,1490,1.00,255525
3,14,NULL,31,63,63,12518,2496,5,325,1178,830,0.56,255526
3,16,NULL,32,196,196,37717,64,6,325,1178,830,0.56,255527
12,17,NULL,33,184,184,48542,65,7,1294,1178,1310,0.35,255528
12,18,NULL,34,49,49,34121,76,8,1,1178,1190,0.32,255529
3,19,NULL,35,63,63,49988,77,9,325,1178,830,0.56,255530
3,20,NULL,36,196,196,13236,143,10,325,1178,920,0.62,255531
3,21,NULL,1,184,184,56634,1,11,1294,1178,2000,0.36,255532
3,22,NULL,2,49,49,7054,87,12,1,1178,2090,0.37,255533
3,23,31,3,63,63,32029,88,13,325,1178,830,0.56,255534
3,24,NULL,5,196,196,18478,165,14,325,1178,1490,1.00,255535
3,25,NULL,6,184,184,47726,238,15,1294,1178,5660,1.00,255536
1,26,NULL,8,49,49,21581,568933,16,1,1178,4540,0.80,255537
3,27,NULL,9,63,63,34213,568934,17,325,1178,920,0.62,255538
1,29,NULL,12,196,196,30748,568935,18,325,1178,1130,0.76,255539
1,30,NULL,13,184,184,53752,568936,19,1294,1178,2980,0.52,255540
1,31,NULL,14,49,49,47984,568937,1,1,1178,5680,1.00,255541
3,32,NULL,16,63,63,62768,568938,2,325,1178,630,0.43,255542
1,33,NULL,17,196,196,47433,568939,3,325,1178,1130,0.76,255543
1,34,NULL,18,184,184,18854,568940,5,1294,1178,5810,1.00,255544
3,35,NULL,19,49,49,30533,568941,6,1,1178,2090,0.37,255545
3,36,NULL,20,63,63,38603,568942,7,325,1178,1490,1.00,255546
1,1,NULL,21,196,196,24583,7,8,325,1178,1130,0.76,255547
1,2,NULL,22,184,184,58318,8,9,1294,1178,3730,0.65,255548
1,3,NULL,23,49,49,39752,22,10,1,1178,4540,0.80,255549
1,5,NULL,24,63,63,36255,23,11,325,1178,1490,1.00,255550
1,6,NULL,25,196,196,57993,24,12,325,1178,1490,1.00,255551
1,8,NULL,26,184,184,7919,16,13,1294,1178,4170,0.72,255552
1,9,NULL,27,49,49,31637,17,14,1,1178,5680,1.00,255553
4,12,NULL,29,40,40,15870,101,15,325,1178,1100,0.74,255554
1,13,NULL,30,196,196,20178,102,16,325,1178,1210,0.82,255555
4,14,NULL,31,184,184,20474,178,17,1294,1178,1625,0.29,255556
3,16,NULL,32,49,49,19376,2,18,1,1178,2090,0.37,255557
4,17,24,33,40,40,35732,3,19,325,1178,1490,1.00,255558
1,18,NULL,34,196,196,33192,9,1,325,1178,1280,0.86,255559
4,19,NULL,35,184,184,15361,10,2,1294,1178,5660,1.00,255560
3,20,NULL,36,49,49,19851,14,3,1,1178,2090,0.37,255561
1,21,NULL,1,40,40,39546,4,5,325,1178,930,0.63,255562
1,22,NULL,2,196,196,18990,5,6,325,1178,1360,0.92,255563
3,23,NULL,3,184,184,13530,6,7,1294,1178,2240,0.40,255564
1,24,NULL,5,49,49,38313,11,8,1,1178,4540,0.80,255565
1,25,NULL,6,40,40,35105,12,9,325,1178,930,0.63,255566
1,26,NULL,8,196,196,54947,568918,10,325,1178,1390,0.94,255567
3,27,NULL,9,184,184,2205,568919,11,1294,1178,5660,1.00,255568
1,29,NULL,12,49,49,16571,568920,12,1,1178,5680,1.00,255569
1,30,NULL,13,40,40,37055,568921,13,325,1178,980,0.66,255570
9,31,NULL,14,196,196,21262,568922,14,325,1178,830,0.62,255571
2,32,NULL,16,184,184,1482,568923,15,1294,1178,1490,0.43,255572
3,33,NULL,17,49,49,15583,568924,16,1,1178,2090,0.37,255573
1,34,NULL,18,40,40,29861,568925,17,325,1178,1490,1.00,255574
9,35,NULL,19,196,196,28467,568926,18,325,1178,830,0.62,255575
2,36,NULL,20,184,184,48939,568927,19,1294,1178,1490,0.43,255576
3,1,NULL,21,49,49,29829,568928,1,1,1178,2090,0.37,255577
1,2,NULL,22,40,40,21977,568929,2,325,1178,1490,1.00,255578
9,3,NULL,23,196,196,3914,568930,3,325,1178,830,0.62,255579
2,5,NULL,24,184,184,3649,568931,5,1294,1178,3470,1.00,255580
1,6,NULL,25,49,49,34195,568932,6,1,1178,4540,0.80,255581
9,8,18,26,40,40,42020,2217,7,325,1178,720,0.59,255582
9,9,NULL,27,196,196,56786,2218,8,325,1178,920,0.68,255583
3,12,NULL,29,184,184,33815,2219,9,1294,1178,2240,0.40,255584
1,13,NULL,30,49,49,23841,2220,10,1,1178,5680,1.00,255585
9,14,NULL,31,40,40,14342,2496,11,325,1178,720,0.59,255586
9,16,NULL,32,196,196,39313,64,12,325,1178,1360,1.00,255587
3,17,NULL,33,184,184,18338,65,13,1294,1178,5660,1.00,255588
3,18,NULL,34,49,49,7619,76,14,1,1178,2090,0.37,255589
9,19,NULL,35,40,40,22321,77,15,325,1178,760,0.62,255590
3,20,NULL,36,196,196,44850,143,16,325,1178,830,0.56,255591
1,21,NULL,1,184,184,28199,1,17,1294,1178,2980,0.52,255592
3,22,NULL,2,49,49,41954,87,18,1,1178,2090,0.37,255593
9,23,NULL,3,40,40,47318,88,19,325,1178,850,0.69,255594
3,24,NULL,5,196,196,4867,165,1,325,1178,830,0.56,255595
1,25,NULL,6,184,184,31526,238,2,1294,1178,5810,1.00,255596
3,26,NULL,8,49,49,44723,568933,3,1,1178,2090,0.37,255597
9,27,NULL,9,40,40,36544,568934,5,325,1178,730,0.59,255598
3,29,NULL,12,196,196,24999,568935,6,325,1178,830,0.56,255599
1,30,NULL,13,184,184,44589,568936,7,1294,1178,3730,0.65,255600
1,31,NULL,14,49,49,37889,568937,8,1,1178,4540,0.80,255601
9,32,NULL,16,40,40,35326,568938,9,325,1178,1240,1.00,255602
3,33,NULL,17,196,196,20786,568939,10,325,1178,920,0.62,255603
