PriceRangeID,Departure_ariportID,Transit_ariportID,Landing_ariportID,DepartureDateID,ArrivalDateID,PassengerID,TicketID,PlaneID,CabinID,mileage,Price,Rate,ian
1,74,,22,196,196,60313,262896,,325,1178,1360,0.92,255487
9,74,,22,183,183,19822,240212,,1294,1178,5580,1.0,255488
3,74,,22,175,175,60839,260217,,325,1178,520,0.35,255489
3,74,,22,63,63,48668,255776,,325,1178,670,0.45,255490
1,74,,22,196,196,18497,262896,,325,1178,1390,0.94,255491
1,74,,22,183,183,26061,240214,6,1294,1178,2240,0.39,255492
3,74,,22,175,175,52302,260217,,325,1178,690,0.47,255493
3,74,,22,63,63,28739,255776,,325,1178,670,0.45,255494
1,74,,22,196,196,30979,262896,,325,1178,1400,0.94,255495
1,74,,22,183,183,22087,240214,6,1294,1178,5810,1.0,255496
3,74,,22,175,175,6207,260217,,325,1178,520,0.35,255497
3,74,,22,63,63,27916,255776,,325,1178,760,0.52,255498
4,74,,22,196,196,34445,269466,,325,1178,795,0.54,255499
3,74,,22,183,183,18912,287933,,1294,1178,2240,0.4,255500
3,74,,22,175,175,57025,260217,,325,1178,1490,1.0,255501
3,74,,22,63,63,20223,255776,,325,1178,630,0.43,255502
4,74,,22,196,196,22111,269466,,325,1178,795,0.54,255503
3,74,,22,183,183,49085,287933,,1294,1178,5660,1.0,255504
3,74,,22,175,175,38238,231108,,325,1178,520,0.35,255505
3,74,,22,63,63,19329,255776,,325,1178,1490,1.0,255506
4,74,,22,196,196,38004,269466,,325,1178,1100,0.74,255507
4,74,,22,183,183,29189,260531,,1294,1178,5660,1.0,255508
3,74,,22,175,175,56074,231108,,325,1178,520,0.35,255509
3,74,,22,63,63,19989,255776,,325,1178,1490,1.0,255510
4,74,,22,196,196,13910,269466,,325,1178,1100,0.74,255511
3,74,,22,183,183,34142,312096,,1294,1178,2240,0.4,255512
3,74,,22,175,175,884,231108,,325,1178,520,0.35,255513
1,74,,22,63,63,14847,312333,,325,1178,1490,1.0,255514
4,74,,22,196,196,21149,269466,,325,1178,1490,1.0,255515
3,74,,22,183,183,41382,312096,,1294,1178,5660,1.0,255516
3,74,,22,175,175,35712,231108,,325,1178,690,0.47,255517
